address,mints
rQGCYdTV5wBEaDcCk1YAtLQNnyXKGFhU,2
rUx9BeNqtqKMjCQX8VBTjj384TXTGpCjG4,2
rg2NXbk5gUnYCMeyKFys3ervu3wMAhAnH,2
rUKec8cLJzgCGMURx7wG6SNmFsqiZDJhuw,2
raQSzWBReDmmA1syoB46DjW7b2wQ8ZvVfg,2
r3qebgzfnj8odT4uLUk7CkikwnocE1HFgB,2
rBYrS8TXXj6iY2s6qasdxeSsncXyDoKPso,2
rH86HhdS3ubsM74ENewbhAEHXEKqj5UGGo,2
rKL5s6i5E4TSEArvXABNxja5CrqqotfeDo,2
rhKHotQYR8QA1S62yraJkVknHR1u7DmJe8,2
rMoWMoW1gc4REuDtcHLVucWU39qrqD2yZr,2
rnrowXayT4tvxZgeQsbX3YaAXH1o2xD5Zb,2
rKo46z3Re1Tuw1rHF1vtDTuPNkhBcep97P,2
rDnBnmFvhUQfpmdBZWxZHyRxnaxKRxnjLU,2
rEgBrGhshce1d9n7B9HDHFV26Bfjvu19wT,2
rCianaCpH38M7aPLsqgt7VAyxchRu6BAK,2
rsTwpXdRU4JitSUkYcVhnmXsoG5PVjJvYz,2
rQfrsbGPA65yyMCtkbVUZFf1EFs1ssPpzT,2
rnQ4igjausQdBaQmacVEbw2QwQjdMVrXgB,2
rEGdtVbJp2FEcEd39pAZqkUXi3REwwdFvC,2
r3ZDA24HMkgsh5Ag3shFSqtch9Kjkr7bGp,2
rQH6SCoUnzWUvAjo7GH8eLbogqTeUyUEAF,2
rah1BfUvMmjF8nY32szPAJakHkLHF7cmzt,2
rPKLi4S8t7kTKaHXzdQUqKemUWsvUZPogm,2
rGT6cmFRT8sRgU3zk57MS4CqitJgBapNPF,2
rJ3m6qReLhPLrrxXfAuGbWUfNhmpdcuZSH,2
r39uidnVmUFv7nL1niSoPbVYRCQvkszp8F,2
rHs9zZBPZbsP5XpXkZq8uC6CTRYHEP6sBQ,2
r4uo8i75PU4MR3iCnA8dx6RqKvxKq7Mvta,2
rECH9ut8Xxspy6WkFahqxL1BZe3oGPEAsn,2
r4N3QfFRcedD6kyv9vbwBJ7iNE7qYMcTqn,2
r4U8oFizM9Pmqc3DQ6EzWWMQr7y1kDywoC,2
rMvNVDBsvsF1Ss99Lo5wukzhZgTg87KNZJ,2
rauyHPwrsTgreAg4mJbJEckiBqQLyL14sU,2
rftDKRXnNdN8CMaBRjDDsD2qaeiq2bq7w7,2
ra7Zj3GMAvuY7QEAJr1YADJ6Ss43Rxyo64,2
rEcCpXBFFyxWGgqXo3Ndca23nM6jSyF7uQ,2
rhKZoNPM2cWUS4gMAUCMEerH2kPxKYABwo,2
rwMJbffTFrXidcmY8kGjQQMu3tYamgbJGS,2
rBH8XhqVUoxck7N4n6hVYSWJJHUf4gRHux,2
rLXaVwYD2Hv4SuU9jRDbgMKUBXBv9bubJ5,2
r3jfnG4J5QSHvDVgMPz73QuSnbbdrYaeQE,2
rajQGCYdTV5wBEaDcCk1YAtLQNnyXKGFhU,2
r9JDdnzEBfU8abnETAUXhroNAG6q62JBZ2,2
rHtdHzdzMq4nNags9PX2AyfJ87u8WAbAQr,2
rK2WAEj5Y6sZBJrebqXC3V6KcBoEMRS1pf,2
rP9fxURKWexKgDY6BwcLK8zckCcVjVjrV9,2
rQHiMsFUTShugZseCdJ8XLR82ijrosVEuY,2
rKqqb5QZXVAL3VqXJL6obfRGeHou1DtyBV,2
rsQfigZ9RegbrMd5M5PAqhAfPDGy5XuG5k,2
rNFbQRgMq5g38bZuxBbhYjwvK8aKUuVEXw,2
rH1hxNmCaizBTeA7opRbypeDNRfxzickbk,2
rDwrsmmDTS6oLtaKdrePSs7e5cuPYnqUCA,2
rUv4X1NEcqA6rtnd8DjiYycSCDYVrn1Tc8,2
rpJVkR1PxHfSL4EHzK39VnQx8ggCPqkF9i,2
rwUizXmsSpWwN6vwynEGLwuk8au9nHvPHm,2
rMa4j3wxKePsCzr2avrTathddeV8rPuk8b,2
rN522JmJcR1WtaFLma7MPWws3Xcj7vqMTU,2
rHL7V7Q2yJ3iAmhKBJhaayFunSGZMFmAu5,2
rGud4AnSavKy3p97Wky6hdYzMTNwa4Mzwk,2
rEPR5XZjXDUMy65K5qUMgGFVqqo8CiA8AU,2
rNis1BmrSxZPZ5CToYdXhoeaFhByLtBME6,2
rwnR8PbyBw6KN1gUw7Hh8JDX95oodEmnEi,2
rLadbCqcKDZJCPCuQE3SUYnZpRc9LVPPTM,2
r9KhE4z4VAfWZtF9eaLsLznmt8D8Q8aFTU,2
